,fdc_id,data_type,description,food_category_id,protein_value,fat_value,carbohydrate_value
146,167844,sr_legacy_food,"Pork, fresh, shoulder, whole, separable lean and fat, cooked, roasted",,4.27,9.02,3.87
147,167845,sr_legacy_food,"Pork, fresh, shoulder, whole, separable lean only, raw",,4.27,9.02,3.87
148,167846,sr_legacy_food,"Pork, fresh, shoulder, whole, separable lean only, cooked, roasted",,4.27,9.02,3.87
149,167847,sr_legacy_food,"Pork, fresh, shoulder, arm picnic, separable lean only, cooked, braised",,4.27,9.02,3.87
150,167848,sr_legacy_food,"Pork, fresh, shoulder, arm picnic, separable lean only, cooked, roasted",,4.27,9.02,3.87
151,167849,sr_legacy_food,"Pork, fresh, shoulder, (Boston butt), blade (steaks), separable lean and fat, raw",,4.27,9.02,3.87
152,167850,sr_legacy_food,"Pork, fresh, shoulder, (Boston butt), blade (steaks), separable lean and fat, cooked, braised",,4.27,9.02,3.87
153,167851,sr_legacy_food,"Pork, fresh, shoulder, blade, boston (steaks), separable lean and fat, cooked, broiled",,4.27,9.02,3.87
154,167852,sr_legacy_food,"Pork, fresh, shoulder, blade, boston (roasts), separable lean only, cooked, roasted",,4.27,9.02,3.87
155,167853,sr_legacy_food,"Pork, fresh, spareribs, separable lean and fat, raw",,4.27,9.02,3.87
156,167854,sr_legacy_food,"Pork, fresh, spareribs, separable lean and fat, cooked, braised",,4.27,9.02,3.87
157,167855,sr_legacy_food,"Pork, fresh, composite of trimmed retail cuts (leg, loin, and shoulder), separable lean only, cooked",,4.27,9.02,3.87
158,167856,sr_legacy_food,"Pork, fresh, variety meats and by-products, chitterlings, cooked, simmered",,4.27,9.02,3.87
159,167857,sr_legacy_food,"Pork, fresh, variety meats and by-products, ears, frozen, raw",,4.27,9.02,3.87
160,167858,sr_legacy_food,"Pork, fresh, variety meats and by-products, ears, frozen, cooked, simmered",,4.27,9.02,3.87
161,167859,sr_legacy_food,"Pork, fresh, variety meats and by-products, feet, raw",,4.27,9.02,3.87
162,167860,sr_legacy_food,"Pork, fresh, variety meats and by-products, kidneys, cooked, braised",,4.27,9.02,3.87
163,167861,sr_legacy_food,"Pork, fresh, variety meats and by-products, leaf fat, raw",,4.27,9.02,3.87
164,167862,sr_legacy_food,"Pork, fresh, variety meats and by-products, liver, raw",,4.27,9.02,3.87
165,167863,sr_legacy_food,"Pork, fresh, variety meats and by-products, liver, cooked, braised",,4.27,9.02,3.87
166,167864,sr_legacy_food,"Pork, fresh, variety meats and by-products, lungs, raw",,4.27,9.02,3.87
167,167865,sr_legacy_food,"Pork, fresh, variety meats and by-products, spleen, raw",,4.27,9.02,3.87
168,167866,sr_legacy_food,"Pork, fresh, variety meats and by-products, spleen, cooked, braised",,4.27,9.02,3.87
169,167867,sr_legacy_food,"Pork, fresh, variety meats and by-products, stomach, raw",,4.27,9.02,3.87
170,167868,sr_legacy_food,"Pork, fresh, loin, blade (chops), bone-in, separable lean only, cooked, pan-fried",,4.27,9.02,3.87
171,167870,sr_legacy_food,"Pork, cured, feet, pickled",,4.27,9.02,3.87
172,167871,sr_legacy_food,"Pork, cured, ham, boneless, extra lean (approximately 5% fat), roasted",,4.27,9.02,3.87
173,167872,sr_legacy_food,"Pork, cured, ham, boneless, regular (approximately 11% fat), roasted",,4.27,9.02,3.87
174,167873,sr_legacy_food,"Pork, cured, ham, patties, unheated",,4.27,9.02,3.87
175,167874,sr_legacy_food,"Pork, cured, ham, steak, boneless, extra lean, unheated",,4.27,9.02,3.87
176,167875,sr_legacy_food,"Pork, cured, ham, whole, separable lean and fat, unheated",,4.27,9.02,3.87
177,167876,sr_legacy_food,"Pork, cured, ham, whole, separable lean only, unheated",,4.27,9.02,3.87
178,167877,sr_legacy_food,"Pork, cured, separable fat (from ham and arm picnic), unheated",,4.27,9.02,3.87
179,167878,sr_legacy_food,"Pork, cured, separable fat (from ham and arm picnic), roasted",,4.27,9.02,3.87
180,167879,sr_legacy_food,"Pork, cured, shoulder, arm picnic, separable lean and fat, roasted",,4.27,9.02,3.87
181,167880,sr_legacy_food,"Pork, cured, shoulder, arm picnic, separable lean only, roasted",,4.27,9.02,3.87
182,167881,sr_legacy_food,"Pork, fresh, variety meats and by-products, tail, cooked, simmered",,4.27,9.02,3.87
183,167882,sr_legacy_food,"Pork, fresh, loin, center loin (chops), bone-in, separable lean only, cooked, pan-fried",,4.27,9.02,3.87
184,167883,sr_legacy_food,"Pork, fresh, loin, center rib (chops), bone-in, separable lean only, cooked, pan-fried",,4.27,9.02,3.87
185,167884,sr_legacy_food,"Pork, fresh, loin, blade (chops), bone-in, separable lean and fat, cooked, pan-fried",,4.27,9.02,3.87
186,167885,sr_legacy_food,"Pork, cured, ham, extra lean and regular, canned, unheated",,4.27,9.02,3.87
187,167886,sr_legacy_food,"Pork, cured, ham, extra lean and regular, canned, roasted",,4.27,9.02,3.87
188,167887,sr_legacy_food,"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, cooked, pan-fried",,4.27,9.02,3.87
189,167888,sr_legacy_food,"Pork, fresh, composite of trimmed retail cuts (leg, loin, shoulder, and spareribs), separable lean and fat, raw",,4.27,9.02,3.87
190,167889,sr_legacy_food,"Pork, fresh, loin, center rib (chops or roasts), boneless, separable lean and fat, raw",,4.27,9.02,3.87
191,167890,sr_legacy_food,"Pork, fresh, loin, center rib (chops), boneless, separable lean and fat, cooked, braised",,4.27,9.02,3.87
192,167891,sr_legacy_food,"Pork, fresh, loin, center rib (chops), boneless, separable lean and fat, cooked, broiled",,4.27,9.02,3.87
193,167892,sr_legacy_food,"Pork, fresh, loin, center rib (chops), boneless, separable lean and fat, cooked, pan-fried",,4.27,9.02,3.87
194,167893,sr_legacy_food,"Pork, fresh, loin, center rib (chops), boneless, separable lean only, cooked, pan-fried",,4.27,9.02,3.87
195,167894,sr_legacy_food,"Pork, fresh, loin, center rib (roasts), boneless, separable lean only, cooked, roasted",,4.27,9.02,3.87
196,167895,sr_legacy_food,"Pork, fresh, loin, country-style ribs, separable lean and fat, raw",,4.27,9.02,3.87
197,167896,sr_legacy_food,"Pork, fresh, loin, country-style ribs, separable lean and fat, cooked, braised",,4.27,9.02,3.87
198,167897,sr_legacy_food,"Pork, fresh, loin, country-style ribs, separable lean and fat, bone-in, cooked, roasted",,4.27,9.02,3.87
199,167898,sr_legacy_food,"Pork, fresh, loin, sirloin (chops), boneless, separable lean and fat, cooked, braised",,4.27,9.02,3.87
200,167899,sr_legacy_food,"Pork, fresh, loin, sirloin (chops), boneless, separable lean and fat, cooked, broiled",,4.27,9.02,3.87
201,167900,sr_legacy_food,"Pork, fresh, loin, sirloin (roasts), boneless, separable lean and fat, cooked, roasted",,4.27,9.02,3.87
